Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
Real Sociedad,Nayef Aguerd,48,ma MAR,DF,es La Liga,28,1996,19.6,0,15,5,33.3,0.77,0.26,0.00,0.00,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4,Nayef AguerdReal Sociedad
Lens,Ruben Aguilar,49,fr FRA,"DF,MF",fr Ligue 1,31,1993,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,16.0,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Ruben AguilarLens
Rennes,Naouirou Ahamada,50,fr FRA,"MF,FW",fr Ligue 1,22,2002,0.6,0,1,0,0.0,1.55,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Naouirou AhamadaRennes
Genoa,Honest Ahanor,51,it ITA,"DF,MF",it Serie A,16,2008,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,10.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Honest AhanorGenoa
St. Pauli,Erik Ahlstrand,52,se SWE,"FW,MF",de Bundesliga,22,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Erik AhlstrandSt. Pauli
Angers,Jean-Eudes Aholou,53,ci CIV,MF,fr Ligue 1,30,1994,21.8,2,27,7,25.9,1.24,0.32,0.07,0.29,18.2,0,0,0,1.8,1.8,0.07,+0.2,+0.2,Jean-Eudes AholouAngers
Valladolid,Joseph Aidoo,54,gh GHA,DF,es La Liga,28,1995,6.5,0,1,0,0.0,0.15,0.00,0.00,,10.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Joseph AidooValladolid
Celta Vigo,Joseph Aidoo,55,gh GHA,DF,es La Liga,28,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Joseph AidooCelta Vigo
Saint-Etienne,Ayman Aiki,56,fr FRA,"FW,MF",fr Ligue 1,19,2005,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Ayman AikiSaint-Etienne
Nott'ham Forest,Ola Aina,57,ng NGA,DF,eng Premier League,27,1996,33.3,2,11,2,18.2,0.33,0.06,0.18,1.00,26.1,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Ola AinaNott'ham Forest
Wolves,Rayan Ait-Nouri,58,dz ALG,DF,eng Premier League,23,2001,34.5,4,36,10,27.8,1.04,0.29,0.11,0.40,14.9,0,0,0,2.7,2.7,0.08,+1.3,+1.3,Rayan Ait-NouriWolves
Hellas Verona,Junior Ajayi,59,ci CIV,FW,it Serie A,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Junior AjayiHellas Verona
Brentford,Kristoffer Ajer,60,no NOR,DF,eng Premier League,26,1998,16.0,0,9,3,33.3,0.56,0.19,0.00,0.00,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Kristoffer AjerBrentford
