Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Atalanta,Rafael Toloi,2604,it ITA,DF,it Serie A,33,1990,5.2,1,0,0,6,2,0,2,8,5,0,0,0,33,9,1,90.0,Rafael ToloiAtalanta
Rayo Vallecano,Raul de Tomas,2605,es ESP,"DF,FW",es La Liga,29,1994,0.2,0,0,0,1,2,0,0,0,2,0,0,0,2,0,0,,Raul de TomasRayo Vallecano
Wolfsburg,Tiago Tomas,2606,pt POR,"FW,MF",de Bundesliga,22,2002,20.9,7,0,0,30,48,6,22,9,19,1,0,0,74,9,30,23.1,Tiago TomasWolfsburg
Arsenal,Takehiro Tomiyasu,2607,jp JPN,DF,eng Premier League,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Takehiro TomiyasuArsenal
Milan,Fikayo Tomori,2608,eng ENG,DF,it Serie A,26,1997,17.7,4,1,1,10,8,0,6,20,25,0,0,0,60,28,30,48.3,Fikayo TomoriMilan
Newcastle Utd,Sandro Tonali,2609,it ITA,MF,eng Premier League,24,2000,29.2,5,0,0,37,49,2,54,34,32,1,0,0,177,12,12,50.0,Sandro TonaliNewcastle Utd
Inter,Luka Topalovic,2610,si SVN,MF,it Serie A,18,2006,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Luka TopalovicInter
Barcelona,Pablo Torre,2611,es ESP,"MF,FW",es La Liga,21,2003,3.4,0,0,0,4,8,1,13,3,4,0,0,0,15,1,6,14.3,Pablo TorreBarcelona
Valladolid,David Torres,2612,es ESP,DF,es La Liga,21,2003,15.4,5,0,0,13,3,0,3,10,8,0,0,1,27,20,21,48.8,David TorresValladolid
Barcelona,Ferran Torres,2613,es ESP,"FW,MF",es La Liga,24,2000,12.3,1,1,0,5,16,6,17,4,4,0,0,0,27,5,9,35.7,Ferran TorresBarcelona
Aston Villa,Pau Torres,2614,es ESP,DF,eng Premier League,27,1997,22.4,2,0,0,8,7,0,3,10,15,0,0,0,62,18,29,38.3,Pau TorresAston Villa
Osasuna,Lucas Torro,2615,es ESP,MF,es La Liga,30,1994,32.9,10,0,0,75,37,1,1,45,41,0,2,0,172,159,67,70.4,Lucas TorroOsasuna
Empoli,Lorenzo Tosto,2616,it ITA,DF,it Serie A,18,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Lorenzo TostoEmpoli
Le Havre,Abdoulaye Toure,2617,gn GUI,MF,fr Ligue 1,30,1994,25.8,5,0,0,30,45,1,11,34,34,1,0,0,160,30,19,61.2,Abdoulaye ToureLe Havre
Hoffenheim,Bazoumana Toure,2618,ci CIV,"FW,MF",de Bundesliga,18,2006,6.8,1,0,0,13,3,7,24,3,10,0,0,0,27,12,17,41.4,Bazoumana ToureHoffenheim
Montpellier,Birama Toure,2619,ml MLI,"MF,DF",fr Ligue 1,32,1992,3.3,2,0,0,2,5,0,0,6,5,0,0,0,14,4,4,50.0,Birama ToureMontpellier
