League,Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,PlSqu
Big5,Unknown Squad,Elliot Anderson,124,eng ENG,MF,eng Premier League,21,2002,30.3,87,2.87,43,20,7,8,4,5,10,0.33,4,3,0,1,1,1,Elliot AndersonUnknown Squad
Big5,Unknown Squad,Andre,125,br BRA,MF,eng Premier League,23,2001,27.5,49,1.78,41,3,1,0,0,4,3,0.11,2,1,0,0,0,0,AndreUnknown Squad
Big5,Unknown Squad,Benjamin Andre,126,fr FRA,MF,fr Ligue 1,33,1990,29.9,53,1.77,46,0,0,2,4,1,9,0.30,6,0,0,2,1,0,Benjamin AndreUnknown Squad
Big5,Unknown Squad,Marcos Andre,127,br BRA,FW,es La Liga,27,1996,13.2,19,1.44,15,0,3,0,1,0,1,0.08,1,0,0,0,0,0,Marcos AndreUnknown Squad
Big5,Unknown Squad,Robert Andrich,128,de GER,"MF,DF",de Bundesliga,29,1994,17.8,33,1.86,25,0,1,5,1,1,4,0.23,3,0,0,1,0,0,Robert AndrichUnknown Squad
Big5,Unknown Squad,Angelino,129,es ESP,DF,it Serie A,27,1997,35.3,89,2.52,68,14,2,1,4,0,7,0.20,6,0,0,0,1,0,AngelinoUnknown Squad
Big5,Unknown Squad,Lorenzo Anghele,130,it ITA,FW,it Serie A,19,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Lorenzo AngheleUnknown Squad
Big5,Unknown Squad,Faustino Anjorin,131,eng ENG,MF,it Serie A,22,2001,12.4,32,2.59,24,1,3,1,2,1,5,0.40,4,0,0,0,0,1,Faustino AnjorinUnknown Squad
Big5,Unknown Squad,Waldemar Anton,132,de GER,DF,de Bundesliga,28,1996,21.7,41,1.90,32,0,6,2,0,1,5,0.23,4,0,0,1,0,0,Waldemar AntonUnknown Squad
Big5,Unknown Squad,Leandro Antonetti,133,pr PUR,FW,es La Liga,21,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Leandro AntonettiUnknown Squad
Big5,Unknown Squad,Kyllian Antonio,134,fr FRA,"DF,MF",fr Ligue 1,16,2008,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kyllian AntonioUnknown Squad
