Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Napoli,Elia Caprile,471,it ITA,GK,it Serie A,22,2001,3.6,98,77,20,5,0,0,0,0,0,0,0,0,81,1,0,Elia CaprileNapoli
Lens,Gabin Capuano,472,fr FRA,FW,fr Ligue 1,18,2006,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Gabin CapuanoLens
Empoli,Francesco Caputo,473,it ITA,FW,it Serie A,36,1987,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Francesco CaputoEmpoli
Como,Maxence Caqueret,474,fr FRA,MF,it Serie A,24,2000,12.1,568,550,15,11,1,2,16,1,3,0,2,0,472,3,15,Maxence CaqueretComo
Lyon,Maxence Caqueret,475,fr FRA,MF,fr Ligue 1,24,2000,6.4,343,332,10,5,0,1,6,1,0,0,0,0,274,1,14,Maxence CaqueretLyon
Montpellier,Simon Cara,476,fr FRA,"MF,FW",fr Ligue 1,19,2005,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Simon CaraMontpellier
Monza,Andrea Carboni,477,it ITA,DF,it Serie A,23,2001,24.3,1157,1080,70,27,0,8,15,14,0,0,0,0,989,7,16,Andrea CarboniMonza
Venezia,Franco Carboni,478,it ITA,DF,it Serie A,21,2003,2.5,92,82,10,0,0,1,8,10,0,0,0,0,61,0,1,Franco CarboniVenezia
Marseille,Valentin Carboni,479,ar ARG,"MF,FW",fr Ligue 1,19,2005,1.1,64,62,2,0,1,0,2,2,0,0,0,0,57,0,3,Valentin CarboniMarseille
Rayo Vallecano,Dani Cardenas,480,es ESP,GK,es La Liga,27,1997,6.0,179,111,67,21,0,0,0,0,0,0,0,0,94,1,0,Dani CardenasRayo Vallecano
Espanyol,Irvin Cardona,481,fr FRA,"FW,MF",es La Liga,26,1997,6.7,161,154,6,0,1,2,14,4,0,0,0,0,100,1,6,Irvin CardonaEspanyol
Saint-Etienne,Irvin Cardona,482,fr FRA,FW,fr Ligue 1,26,1997,11.8,381,369,8,3,3,0,31,5,0,0,0,0,255,4,13,Irvin CardonaSaint-Etienne
Las Palmas,Marc Cardona,483,es ESP,"FW,DF",es La Liga,29,1995,1.5,48,45,3,0,1,1,1,0,1,0,0,0,38,0,2,Marc CardonaLas Palmas
Villarreal,Sergi Cardona,484,es ESP,DF,es La Liga,25,1999,32.7,1457,1206,245,23,2,2,111,221,1,0,0,0,1126,6,39,Sergi CardonaVillarreal
