Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Betis,Sergi Altimira,100,es ESP,MF,es La Liga,22,2001,21.9,1521,53,321,940,272,18,1521,24,16,66.7,7,29.2,908,3871,1635,25,14,1,27,21,1064,30,Sergi AltimiraBetis
Leicester City,Olabade Aluko,101,,DF,eng Premier League,,,0.0,6,0,0,6,1,0,6,1,0,0.0,1,100.0,2,1,0,0,0,0,0,1,2,0,Olabade AlukoLeicester City
West Ham,Edson Alvarez,102,mx MEX,MF,eng Premier League,26,1997,19.7,1239,67,361,693,194,12,1239,33,14,42.4,14,42.4,687,3783,1714,24,22,2,27,15,830,18,Edson AlvarezWest Ham
Celta Vigo,Hugo Alvarez,103,es ESP,"MF,DF",es La Liga,21,2003,17.5,1214,26,262,471,489,82,1214,72,32,44.4,38,52.8,726,3910,2266,74,38,41,33,12,817,171,Hugo AlvarezCelta Vigo
Atletico Madrid,Julian Alvarez,104,ar ARG,FW,es La Liga,24,2000,27.9,1238,9,105,501,649,116,1234,65,34,52.3,28,43.1,776,4621,2198,79,51,29,62,40,892,162,Julian AlvarezAtletico Madrid
Athletic Club,Yeray Alvarez,105,es ESP,DF,es La Liga,29,1995,19.8,1425,100,554,825,55,14,1425,9,6,66.7,3,33.3,792,4934,3165,19,8,0,11,7,903,0,Yeray AlvarezAthletic Club
Werder Bremen,Skelly Alvero,106,fr FRA,MF,de Bundesliga,22,2002,2.6,136,15,49,68,19,2,136,3,2,66.7,1,33.3,70,306,132,1,1,0,6,4,74,0,Skelly AlveroWerder Bremen
Leicester City,Will Alves,107,eng ENG,FW,eng Premier League,19,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Will AlvesLeicester City
Valladolid,Selim Amallah,108,ma MAR,MF,es La Liga,27,1996,15.3,607,7,101,334,184,18,606,68,33,48.5,27,39.7,308,1860,836,24,17,6,35,25,353,27,Selim AmallahValladolid
Manchester Utd,Harry Amass,109,eng ENG,DF,eng Premier League,17,2007,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50.0,132,705,376,9,6,2,18,5,124,23,Harry AmassManchester Utd
Valladolid,Amath,110,sn SEN,"FW,DF",es La Liga,28,1996,4.2,166,4,24,71,73,12,166,16,7,43.8,9,56.3,103,616,318,10,9,4,10,4,119,29,AmathValladolid
Brest,Jordan Amavi,111,fr FRA,DF,fr Ligue 1,30,1994,8.8,615,20,186,304,131,4,615,13,7,53.8,6,46.2,309,1558,936,22,18,1,9,5,361,21,Jordan AmaviBrest
Eint Frankfurt,Aurele Amenda,112,ch SUI,DF,de Bundesliga,21,2003,1.1,89,13,42,42,6,1,89,1,1,100.0,0,0.0,46,186,72,1,0,0,1,0,52,1,Aurele AmendaEint Frankfurt
Nantes,Kelvin Amian,113,fr FRA,DF,fr Ligue 1,26,1998,24.1,1153,81,374,523,267,21,1153,22,13,59.1,8,36.4,544,2412,1208,32,27,1,20,12,637,77,Kelvin AmianNantes
Marseille,Michael Amir Murillo,114,pa PAN,DF,fr Ligue 1,28,1996,27.1,2135,83,601,1205,339,33,2135,27,14,51.9,13,48.1,1169,4743,2430,43,33,8,28,10,1458,100,Michael Amir MurilloMarseille
Mainz 05,Nadiem Amiri,115,de GER,MF,de Bundesliga,27,1996,27.5,2093,45,360,1159,604,49,2091,67,32,47.8,31,46.3,1134,5414,2578,50,43,14,42,27,1307,64,Nadiem AmiriMainz 05
Southampton,Samuel Amo-Ameyaw,116,eng ENG,"FW,DF",eng Premier League,18,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Samuel Amo-AmeyawSouthampton
Strasbourg,Samuel Amo-Ameyaw,117,eng ENG,"DF,MF",fr Ligue 1,18,2006,3.6,165,2,29,72,68,10,165,12,5,41.7,4,33.3,94,698,300,11,10,4,7,2,113,18,Samuel Amo-AmeyawStrasbourg
Chelsea,Mathis Amougou,118,fr FRA,MF,eng Premier League,18,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Mathis AmougouChelsea
Saint-Etienne,Mathis Amougou,119,fr FRA,MF,fr Ligue 1,18,2006,9.5,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17,Mathis AmougouSaint-Etienne
Wolfsburg,Mohamed Amoura,120,dz ALG,FW,de Bundesliga,24,2000,27.4,1106,17,119,385,629,127,1104,91,37,40.7,48,52.7,628,4108,2067,81,46,35,86,18,733,244,Mohamed AmouraWolfsburg
Fiorentina,Sofyan Amrabat,121,ma MAR,MF,it Serie A,27,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1,Sofyan AmrabatFiorentina
Crystal Palace,Joachim Andersen,122,dk DEN,DF,eng Premier League,28,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Joachim AndersenCrystal Palace
Fulham,Joachim Andersen,123,dk DEN,DF,eng Premier League,28,1996,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0.0,1350,6505,3435,16,14,1,6,3,1621,2,Joachim AndersenFulham
Nott'ham Forest,Elliot Anderson,124,eng ENG,MF,eng Premier League,21,2002,30.3,1831,102,424,890,547,72,1831,75,36,48.0,30,40.0,932,5071,2366,52,32,21,60,49,1088,94,Elliot AndersonNott'ham Forest
